Median House Value,Median Income,House Age,Average Rooms,Average Bedrooms,Population,Average Occupancy,Latitude,Longitude
7.5000,1.7500,49.0,5.552632,1.342105,560.0,3.684211,37.81,-122.29
6.7500,0.4999,46.0,1.714286,0.571429,18.0,2.571429,37.81,-122.29
13.7500,2.4830,20.0,6.278195,1.210526,290.0,2.180451,37.81,-122.29
17.7500,0.9241,17.0,2.817768,1.052392,762.0,1.735763,37.81,-122.28
10.2099,2.4464,36.0,5.724951,1.104126,1236.0,2.428291,37.81,-122.28
10.8300,1.1111,19.0,5.830918,1.173913,721.0,3.483092,37.81,-122.28
11.2500,0.8026,23.0,5.369231,1.150769,1054.0,3.243077,37.81,-122.29
13.1300,2.0114,38.0,4.412903,1.135484,344.0,2.219355,37.8,-122.28
16.2500,1.5000,17.0,3.197232,1.000000,609.0,2.107266,37.81,-122.28
11.2500,1.1667,52.0,3.750000,1.000000,183.0,3.267857,37.81,-122.27
11.2500,1.5208,52.0,3.908046,1.114943,200.0,2.298851,37.81,-122.28
13.7500,0.8075,52.0,2.490323,1.058065,346.0,2.232258,37.81,-122.28
11.8800,1.8088,35.0,5.609467,1.088757,467.0,2.763314,37.81,-122.28
9.8200,2.4083,52.0,6.721739,1.243478,377.0,3.278261,37.81,-122.28
11.8800,0.9770,40.0,2.315789,1.186842,582.0,1.531579,37.81,-122.27
16.2500,0.7600,10.0,2.651515,1.054545,546.0,1.654545,37.81,-122.27
13.7500,0.9722,10.0,2.692308,1.076923,125.0,3.205128,37.8,-122.27
50.0000,1.2434,52.0,2.929412,0.917647,396.0,4.658824,37.8,-122.27
16.2500,2.0938,16.0,2.745856,1.082873,800.0,2.209945,37.8,-122.27
13.7500,0.8668,52.0,2.443182,0.988636,904.0,10.272727,37.8,-122.28
16.2500,0.7500,52.0,2.823529,0.911765,191.0,5.617647,37.8,-122.28
18.7500,2.6354,27.0,3.493377,1.149007,718.0,2.377483,37.79,-122.27
17.9200,1.8477,39.0,3.672377,1.334047,1327.0,2.841542,37.8,-122.27
13.0000,2.0096,36.0,2.294016,1.066294,3469.0,1.493328,37.8,-122.26
18.3800,2.8344,31.0,3.894915,1.127966,2048.0,1.735593,37.82,-122.26
12.5000,2.0062,29.0,3.681319,1.175824,202.0,2.219780,37.81,-122.26
17.0000,1.2185,22.0,2.945600,1.016000,2024.0,1.619200,37.82,-122.26
19.3100,2.6104,37.0,3.707143,1.107143,1838.0,1.875510,37.82,-122.26
25.7799,2.4912,29.0,3.724800,1.131200,2304.0,1.843200,37.81,-122.25
27.3400,3.2176,28.0,3.878424,1.070808,2563.0,1.712091,37.81,-122.25
23.7500,3.1250,39.0,3.745614,1.061404,389.0,1.706140,37.81,-122.25
35.0000,2.5795,52.0,3.515498,1.143556,895.0,1.460033,37.81,-122.25
33.5700,2.8405,34.0,3.281722,1.069871,2689.0,1.503074,37.81,-122.26
31.3400,4.9306,52.0,6.184426,0.922131,674.0,2.762295,37.82,-122.24
26.8500,3.2727,52.0,4.442982,1.057018,709.0,1.554825,37.81,-122.24
25.9400,3.1690,52.0,4.165877,1.090047,686.0,1.625592,37.81,-122.25
27.5700,3.9000,52.0,4.848189,1.045961,1444.0,2.011142,37.82,-122.24
22.5000,3.9063,28.0,4.160848,1.066085,1520.0,1.895262,37.82,-122.25
26.2500,5.0917,52.0,5.628458,1.142292,550.0,2.173913,37.82,-122.25
21.8500,2.6429,32.0,3.727006,1.074364,1806.0,1.767123,37.82,-122.25
25.4999,3.0233,26.0,3.253081,0.982744,1749.0,1.437141,37.82,-122.25
22.4100,3.1484,52.0,4.578035,1.077071,939.0,1.809249,37.83,-122.25
24.3100,3.4722,35.0,3.822275,1.014218,675.0,1.599526,37.83,-122.25
23.1599,3.1429,52.0,4.395189,0.986254,534.0,1.835052,37.83,-122.25
21.8500,2.4234,28.0,3.023480,1.053582,2558.0,1.540036,37.83,-122.25
23.4100,3.0897,52.0,4.040501,1.065574,1786.0,1.722276,37.83,-122.25
32.7600,5.8596,50.0,6.742627,1.069705,970.0,2.600536,37.84,-122.23
34.7600,5.2868,47.0,6.546392,0.936082,1098.0,2.263918,37.84,-122.23
36.6100,5.9560,41.0,6.851064,1.079787,794.0,2.111702,37.83,-122.24
33.5000,4.9643,37.0,7.106383,1.148936,98.0,2.085106,37.85,-122.24
37.3600,6.3434,52.0,6.947891,1.019851,1061.0,2.632754,37.85,-122.23
38.9500,5.1773,52.0,6.358559,1.034234,1177.0,2.120721,37.84,-122.24
39.1100,7.2354,52.0,7.117166,0.994550,901.0,2.455041,37.85,-122.24
33.7300,5.4570,28.0,5.530335,1.096234,2031.0,2.124477,37.85,-122.22
29.5200,7.5000,50.0,6.127349,0.987474,1031.0,2.152401,37.84,-122.22
29.2300,6.0194,44.0,5.735343,1.000000,1358.0,2.274707,37.84,-122.21
41.1500,7.5544,40.0,7.631498,1.030581,1616.0,2.470948,37.83,-122.21
31.1500,6.0666,30.0,6.446064,1.008746,844.0,2.460641,37.84,-122.2
32.5900,7.0548,34.0,6.125000,0.987903,1140.0,2.298387,37.84,-122.21
39.2600,11.6016,18.0,8.335052,1.082474,533.0,2.747423,37.84,-122.19
31.9300,7.4882,35.0,6.467269,1.038375,1072.0,2.419865,37.84,-122.2
33.3300,6.8976,34.0,6.612272,1.028721,1627.0,2.124021,37.83,-122.21
33.5200,8.2049,28.0,6.978947,0.968421,463.0,2.436842,37.83,-122.19
35.1200,8.4010,26.0,7.530806,1.056872,542.0,2.568720,37.83,-122.2
36.8900,6.8538,29.0,6.657993,1.007435,661.0,2.457249,37.83,-122.19
36.5900,8.3170,32.0,6.977186,1.003802,635.0,2.414449,37.82,-122.19
36.6700,7.0175,37.0,6.982955,1.028409,420.0,2.386364,37.82,-122.2
36.2800,6.3301,39.0,7.540000,1.068000,1265.0,2.530000,37.82,-122.2
48.3300,6.3624,30.0,5.615385,0.730769,126.0,2.423077,37.81,-122.18
33.1400,7.0549,52.0,6.785714,0.951429,813.0,2.322857,37.82,-122.21
32.3500,6.7851,45.0,6.957746,1.023474,1067.0,2.504695,37.81,-122.2
21.6699,2.8929,50.0,5.132246,1.096014,1260.0,2.282609,37.8,-122.21
23.3100,3.0812,38.0,4.628337,1.098563,951.0,1.952772,37.8,-122.21
29.6400,5.2402,52.0,6.200893,0.946429,510.0,2.276786,37.81,-122.21
27.3700,6.5217,52.0,6.399351,1.087662,765.0,2.483766,37.81,-122.22
22.7700,3.2632,52.0,4.745652,1.010870,1129.0,2.454348,37.8,-122.22
19.9600,3.0298,52.0,5.183673,1.052154,1073.0,2.433107,37.8,-122.22
23.9800,4.5428,52.0,5.283495,1.050485,1185.0,2.300971,37.8,-122.22
27.0100,4.0720,52.0,5.952941,0.997059,756.0,2.223529,37.81,-122.22
30.2100,5.3509,52.0,5.650672,1.028791,1034.0,1.984645,37.81,-122.22
26.9500,3.1603,52.0,4.429194,1.058824,787.0,1.714597,37.8,-122.23
31.4700,4.7708,52.0,6.727700,1.075117,612.0,2.873239,37.81,-122.23
39.0100,8.1564,52.0,7.702632,1.057895,1021.0,2.686842,37.81,-122.22
41.0300,8.8793,52.0,8.972868,1.131783,861.0,3.337209,37.81,-122.23
35.2400,6.8591,52.0,7.599388,0.957187,953.0,2.914373,37.81,-122.24
28.7300,6.0302,52.0,5.820312,0.929688,634.0,2.476562,37.81,-122.24
34.8700,7.5080,52.0,7.994318,1.036932,878.0,2.494318,37.81,-122.23
24.3800,2.7477,52.0,4.333333,1.138716,918.0,1.900621,37.81,-122.24
21.1500,2.1944,52.0,5.074286,0.960000,360.0,2.057143,37.8,-122.24
21.8400,3.0149,52.0,4.276639,1.045082,1197.0,2.452869,37.8,-122.25
26.9900,3.6750,52.0,4.851351,0.969112,1048.0,2.023166,37.81,-122.24
21.8800,3.2250,46.0,4.326640,1.117805,1373.0,1.838019,37.81,-122.25
22.5000,2.9345,42.0,4.059113,1.049261,1715.0,1.689655,37.8,-122.25
25.0000,2.1429,43.0,3.274238,1.096953,1359.0,1.882271,37.8,-122.25
17.1400,1.6121,41.0,3.561743,1.135593,1062.0,2.571429,37.8,-122.25
19.3800,1.3929,29.0,3.192755,1.117723,1335.0,1.727038,37.8,-122.25
12.5000,2.3173,27.0,3.804196,1.146853,1171.0,2.729604,37.79,-122.24
9.7500,1.7772,45.0,3.882609,1.143478,1475.0,3.206522,37.79,-122.25
12.5000,2.6458,50.0,3.209184,0.959184,742.0,3.785714,37.79,-122.25
13.8800,2.1810,52.0,3.688705,1.077135,1086.0,2.991736,37.79,-122.25
11.6700,2.2303,36.0,3.090239,1.116022,1645.0,3.029466,37.8,-122.25
15.1800,1.6504,43.0,3.639752,1.004658,1710.0,2.655280,37.8,-122.25
12.7000,2.2697,52.0,4.368421,1.000000,731.0,3.206140,37.8,-122.24
12.8600,2.1563,52.0,4.585014,1.074928,1118.0,3.221902,37.8,-122.24
14.0600,2.1347,52.0,4.734328,1.188060,1006.0,3.002985,37.8,-122.24
18.2700,2.6292,47.0,3.693141,1.061372,1213.0,2.189531,37.8,-122.24
14.6900,2.3833,52.0,4.638132,1.124514,772.0,3.003891,37.8,-122.23
12.2800,2.9570,52.0,4.496259,1.047382,1321.0,3.294264,37.8,-122.24
16.9300,2.5238,49.0,4.192024,1.106352,1487.0,2.196455,37.8,-122.24
12.6600,1.9375,52.0,4.209677,0.989247,488.0,2.623656,37.8,-122.23
12.7899,1.9028,51.0,4.056122,1.056122,949.0,2.420918,37.8,-122.23
12.3500,2.2500,50.0,4.207229,1.156627,1149.0,2.768675,37.8,-122.23
11.1900,2.3929,52.0,4.471429,1.067857,844.0,3.014286,37.8,-122.23
11.2799,2.1917,43.0,4.844029,1.091795,4367.0,3.547522,37.79,-122.23
10.7900,2.9357,52.0,4.327670,0.958738,1659.0,4.026699,37.79,-122.23
13.7500,1.8854,30.0,3.798479,1.003802,1011.0,3.844106,37.79,-122.23
10.5500,2.1638,39.0,3.776350,1.107969,1464.0,3.763496,37.79,-122.24
9.5500,2.1250,47.0,4.528053,1.303630,1237.0,4.082508,37.79,-122.24
11.6100,3.3750,52.0,4.011905,1.071429,647.0,3.851190,37.79,-122.24
11.2200,2.2542,43.0,4.554622,1.053221,1284.0,3.596639,37.79,-122.24
7.5000,2.1000,51.0,3.181818,0.781818,228.0,4.145455,37.79,-122.25
11.2500,1.6000,39.0,3.747967,1.048780,381.0,3.097561,37.79,-122.25
12.5000,3.6250,52.0,3.973568,1.044053,846.0,3.726872,37.79,-122.25
11.4999,1.6929,20.0,3.510355,1.152367,1659.0,2.454142,37.8,-122.26
9.5000,1.6471,52.0,2.833333,0.927536,520.0,3.768116,37.77,-122.22
9.6400,2.5900,52.0,4.389961,1.162162,866.0,3.343629,37.77,-122.22
7.2000,2.5700,52.0,4.202186,1.125683,612.0,3.344262,37.77,-122.23
7.1300,2.6429,52.0,3.746032,1.158730,415.0,3.293651,37.78,-122.23
8.0800,3.0257,52.0,4.046948,1.009390,994.0,4.666667,37.78,-122.23
12.8800,1.4886,50.0,4.025157,1.111111,1525.0,3.197065,37.78,-122.22
11.2500,1.9338,43.0,3.242009,1.077626,1506.0,3.438356,37.78,-122.23
11.9400,1.4844,52.0,3.866667,1.011765,1008.0,3.952941,37.78,-122.23
11.8100,1.6009,44.0,3.115846,1.098535,2813.0,3.745672,37.78,-122.23
12.2500,2.0375,48.0,4.944606,1.154519,1481.0,4.317784,37.79,-122.23
10.6300,2.2930,49.0,5.365297,0.990868,859.0,3.922374,37.79,-122.23
13.2500,2.1494,37.0,4.479924,1.097514,1608.0,3.074570,37.79,-122.22
12.2700,1.6197,30.0,4.357143,1.035714,425.0,3.035714,37.79,-122.23
11.3300,1.3281,40.0,5.054348,1.081522,564.0,3.065217,37.79,-122.23
10.9500,3.5156,44.0,5.466912,1.154412,961.0,3.533088,37.79,-122.22
16.4700,3.9048,52.0,4.998540,1.007299,2273.0,3.318248,37.79,-122.22
12.5000,3.0893,52.0,3.907692,0.974359,600.0,3.076923,37.79,-122.21
12.4700,2.6042,46.0,4.489564,1.091082,1647.0,3.125237,37.79,-122.22
13.6700,2.5000,49.0,4.306604,1.061321,1201.0,2.832547,37.79,-122.22
14.1700,2.7969,38.0,4.626707,1.078907,2167.0,3.288316,37.79,-122.22
15.0000,2.8321,29.0,4.823529,1.105882,939.0,2.761765,37.79,-122.2
13.8800,2.9583,47.0,5.284247,1.051370,859.0,2.941781,37.79,-122.21
13.9200,2.8365,34.0,4.581395,1.079457,1517.0,2.939922,37.79,-122.21
14.3800,2.8750,35.0,4.520725,1.059585,1143.0,2.961140,37.79,-122.21
15.6500,3.0682,39.0,4.316810,1.077586,1109.0,2.390086,37.8,-122.21
15.1000,3.0757,39.0,4.524664,1.002242,1221.0,2.737668,37.8,-122.21
27.3000,4.9559,43.0,6.692308,1.096703,1115.0,2.450549,37.8,-122.2
21.7099,4.7721,52.0,5.772388,1.093284,706.0,2.634328,37.8,-122.2
18.7100,3.4861,52.0,4.984419,1.007082,1883.0,2.667139,37.8,-122.21
23.9600,5.1184,41.0,6.088235,1.041176,804.0,2.364706,37.8,-122.2
22.9700,4.0977,48.0,5.242063,1.043651,506.0,2.007937,37.8,-122.21
25.7300,4.7440,48.0,7.117647,1.088235,610.0,2.563025,37.8,-122.19
24.6900,4.2727,46.0,5.837349,1.027108,768.0,2.313253,37.8,-122.19
17.9900,2.9844,50.0,5.260870,1.059783,462.0,2.510870,37.79,-122.19
16.9600,4.1739,40.0,4.510638,1.089362,667.0,2.838298,37.79,-122.2
20.3300,3.8487,46.0,5.115288,1.015038,1059.0,2.654135,37.8,-122.2
26.3400,4.0114,52.0,6.545126,0.978339,637.0,2.299639,37.8,-122.19
23.1800,4.6563,45.0,5.986784,0.993392,1106.0,2.436123,37.79,-122.19
14.0500,2.9297,28.0,4.699552,1.137519,1737.0,2.596413,37.79,-122.19
12.6000,2.3036,35.0,4.620513,1.176923,1009.0,2.587179,37.79,-122.2
12.2000,2.6667,49.0,4.200000,0.928571,737.0,3.509524,37.79,-122.2
13.4700,2.6190,44.0,3.301426,0.920570,1354.0,2.757637,37.79,-122.2
13.9400,2.4167,45.0,4.462025,1.124473,1530.0,3.227848,37.79,-122.21
11.5399,2.7788,45.0,4.210417,1.100000,1410.0,2.937500,37.79,-122.2
13.7300,2.7352,46.0,3.934974,0.892794,1390.0,2.442882,37.78,-122.21
13.7000,1.8472,52.0,5.490706,1.115242,1065.0,3.959108,37.78,-122.21
14.2600,2.6583,52.0,4.310204,0.914286,792.0,3.232653,37.78,-122.21
13.7500,3.0536,49.0,3.665306,0.995918,779.0,3.179592,37.78,-122.21
11.1700,2.3906,44.0,4.865574,1.163934,2269.0,3.719672,37.78,-122.22
12.6800,1.7188,43.0,4.181818,1.130221,1227.0,3.014742,37.78,-122.21
11.1300,2.6250,47.0,3.655602,1.029046,753.0,3.124481,37.78,-122.21
11.4799,2.8015,40.0,3.659259,0.844444,547.0,4.051852,37.77,-122.22
10.2299,1.7276,50.0,4.036364,1.075000,1807.0,4.106818,37.78,-122.22
13.1900,2.0801,44.0,3.389899,1.038384,1700.0,3.434343,37.78,-122.22
11.9100,2.4890,51.0,4.165394,1.178117,1543.0,3.926209,37.78,-122.22
8.0600,1.7546,52.0,4.733333,1.046667,1085.0,3.616667,37.76,-122.21
8.0600,4.0904,52.0,4.313869,1.262774,353.0,2.576642,37.77,-122.21
8.8800,2.6765,52.0,5.000000,1.026846,473.0,3.174497,37.77,-122.21
10.2400,2.4338,49.0,4.703934,1.031056,1621.0,3.356108,37.77,-122.2
9.8700,2.3309,46.0,3.485876,1.059322,1183.0,3.341808,37.77,-122.21
10.0000,2.2604,43.0,3.671480,1.184116,836.0,3.018051,37.77,-122.21
9.2300,1.8039,42.0,3.543726,0.965779,900.0,3.422053,37.77,-122.19
9.4800,2.2562,39.0,5.007449,1.111732,1888.0,3.515829,37.77,-122.2
10.2000,2.0562,41.0,4.536657,1.217009,1024.0,3.002933,37.77,-122.2
15.8400,3.5398,52.0,5.437352,1.047281,1225.0,2.895981,37.78,-122.2
12.1600,3.1166,39.0,4.659574,1.061170,1071.0,2.848404,37.78,-122.2
12.9099,2.5400,50.0,4.939153,1.066138,1128.0,2.984127,37.78,-122.2
12.1400,2.8980,43.0,5.020661,1.037190,1537.0,3.175620,37.77,-122.2
10.2800,2.3125,44.0,4.399491,1.053435,1240.0,3.155216,37.78,-122.21
16.0000,2.8750,52.0,6.107143,1.071429,469.0,2.791667,37.78,-122.19
14.3900,3.3715,52.0,5.105882,1.007059,1086.0,2.555294,37.77,-122.19
15.1200,3.5114,52.0,5.585132,1.067146,1144.0,2.743405,37.77,-122.19
16.4400,4.3125,52.0,6.645333,1.106667,1109.0,2.957333,37.78,-122.19
15.6500,3.2200,52.0,5.956640,1.075881,984.0,2.666667,37.78,-122.19
22.5000,3.8750,33.0,3.021277,0.659574,575.0,12.234043,37.78,-122.18
17.4200,5.2328,49.0,5.660287,0.980861,496.0,2.373206,37.78,-122.19
16.6900,3.7262,52.0,5.631579,1.015789,555.0,2.921053,37.78,-122.19
16.3500,4.5893,45.0,5.400612,1.015291,869.0,2.657492,37.78,-122.2
25.2999,5.2577,39.0,5.820755,0.896226,236.0,2.226415,37.79,-122.18
24.0700,7.0875,41.0,6.593458,1.088785,626.0,2.925234,37.79,-122.18
20.8100,3.9712,46.0,6.410334,1.176292,922.0,2.802432,37.79,-122.18
19.8100,2.9514,47.0,4.800781,0.949219,582.0,2.273438,37.79,-122.19
17.2800,2.6667,50.0,4.746269,1.079602,546.0,2.716418,37.79,-122.19
33.6700,5.4446,37.0,6.176692,0.984962,620.0,2.330827,37.81,-122.18
31.8200,6.2838,34.0,6.948718,1.000000,442.0,2.266667,37.8,-122.18
28.5800,6.7527,23.0,7.064024,1.024390,955.0,2.911585,37.8,-122.18
29.3000,7.0712,24.0,7.589506,0.978395,916.0,2.827160,37.77,-122.13
37.1000,5.9849,22.0,6.528724,1.041179,4985.0,2.534316,37.79,-122.16
15.7300,3.6875,42.0,5.707865,0.973783,651.0,2.438202,37.78,-122.17
13.5300,2.8750,30.0,4.731152,1.061166,1704.0,2.423898,37.77,-122.17
13.6700,3.4205,43.0,4.877150,1.081081,1085.0,2.665848,37.78,-122.18
16.0700,3.2984,50.0,5.781690,1.133803,713.0,2.510563,37.78,-122.18
14.0600,3.8750,49.0,4.933702,0.977901,468.0,2.585635,37.78,-122.17
14.4000,4.1750,52.0,5.396694,1.057851,296.0,2.446281,37.78,-122.17
15.6300,4.7708,48.0,5.427778,1.077778,446.0,2.477778,37.77,-122.16
17.6000,3.5739,45.0,6.052083,1.033854,968.0,2.520833,37.77,-122.16
14.5800,3.0958,39.0,5.009494,1.104430,857.0,2.712025,37.77,-122.16
14.1900,3.3958,39.0,5.006211,1.062112,912.0,2.832298,37.77,-122.17
9.0700,1.8710,31.0,5.362832,1.179204,1360.0,3.008850,37.77,-122.17
9.0600,1.9356,41.0,4.490141,1.033803,1074.0,3.025352,37.76,-122.17
10.7900,2.1842,47.0,5.544503,1.081152,965.0,2.526178,37.76,-122.17
10.7000,2.2917,37.0,4.921875,1.118750,933.0,2.915625,37.76,-122.18
9.8200,2.4333,38.0,4.983051,1.121469,987.0,2.788136,37.76,-122.17
8.9500,1.9479,50.0,4.825203,1.060976,907.0,3.686992,37.76,-122.18
9.3800,3.9063,52.0,4.569697,1.060606,447.0,2.709091,37.76,-122.18
9.6700,1.8407,49.0,5.117517,1.002217,1299.0,2.880266,37.76,-122.18
9.7500,2.0785,27.0,5.789809,1.503185,396.0,2.522293,37.77,-122.18
9.7300,2.8125,42.0,4.402985,0.958955,877.0,3.272388,37.77,-122.18
9.1200,1.8913,43.0,5.498638,1.111717,1111.0,3.027248,37.76,-122.18
9.1400,1.7056,49.0,5.085502,1.048327,790.0,2.936803,37.76,-122.19
9.6200,2.2768,52.0,4.953069,0.987365,1479.0,2.669675,37.77,-122.18
12.0100,3.2552,51.0,4.810502,1.075342,1173.0,2.678082,37.77,-122.18
10.0000,2.0556,52.0,4.775956,0.989071,1029.0,2.811475,37.77,-122.18
9.4700,2.4659,52.0,5.782857,1.117143,1030.0,2.942857,37.76,-122.19
8.5700,1.7500,47.0,4.000000,0.928315,826.0,2.960573,37.76,-122.2
8.9300,2.0469,41.0,4.484581,1.123348,1412.0,3.110132,37.77,-122.19
10.1400,2.7159,45.0,5.306590,1.126074,1132.0,3.243553,37.77,-122.19
7.2500,1.2083,41.0,5.792453,1.301887,522.0,3.283019,37.76,-122.19
7.4100,1.9250,45.0,4.198312,1.004219,630.0,2.658228,37.76,-122.19
7.0000,1.5809,36.0,4.556391,0.992481,531.0,3.992481,37.75,-122.2
8.4600,1.4097,37.0,4.017991,1.103448,1925.0,2.886057,37.76,-122.2
8.1800,0.7683,38.0,4.253561,1.054131,1144.0,3.259259,37.76,-122.19
8.1400,1.3193,19.0,4.244231,1.086538,1481.0,2.848077,37.75,-122.19
8.1800,0.8012,28.0,5.283951,1.166667,435.0,2.685185,37.75,-122.19
8.5800,1.9479,26.0,4.267327,0.980198,984.0,3.247525,37.76,-122.19
8.7100,1.1765,36.0,5.327044,1.333333,567.0,3.566038,37.74,-122.19
8.3500,2.3456,42.0,4.398374,1.252033,380.0,3.089431,37.74,-122.18
7.9700,2.1538,44.0,4.368852,1.036885,825.0,3.381148,37.73,-122.19
8.3400,2.5139,43.0,4.561290,0.948387,417.0,2.690323,37.74,-122.19
8.4700,1.2625,45.0,5.324042,1.013937,801.0,2.790941,37.73,-122.19
8.0000,2.9063,42.0,4.590909,1.085859,646.0,3.262626,37.73,-122.18
